campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
731575,1,2023-05-25,39,,2.7754663192391362
731575,1,2023-05-26,62,,2.5190393271192577
731575,1,2023-05-27,87,,2.3589374937491288
731575,1,2023-05-28,102,,2.2194514999978088
731575,1,2023-05-29,151,,2.1842834725336377
731575,1,2023-05-30,165,,2.1704341566040455
731575,1,2023-05-31,157,,2.2633653567577197
731575,1,2023-06-01,138,,2.655952059833376
731575,1,2023-06-02,116,,2.6940294354366596
731575,1,2023-06-03,92,,2.6480300703440003
731575,1,2023-06-04,103,,2.7689462550691326
731575,1,2023-06-05,79,,2.944935848444742
731575,1,2023-06-06,74,,2.4552291872727565
731575,1,2023-06-07,74,,1.646840688294689
731575,1,2023-06-08,58,,1.708551187589371
731575,1,2023-06-09,73,,1.7044487794038603
731575,1,2023-06-10,65,,1.7309052028273535
731575,1,2023-06-11,80,,1.675921135771345
731575,1,2023-06-12,66,,1.3760951984430017
731575,1,2023-06-13,81,,1.4752229163278616
731575,1,2023-06-14,80,,1.598495776458202
731575,1,2023-06-15,131,,1.3510440686375955
731575,1,2023-06-16,116,,1.3545661282642243
731575,1,2023-06-17,163,,0.9405078279713949
731575,1,2023-06-18,39,,0.9291755266451129
731575,1,2023-06-19,39,,1.0373090851567068
731575,1,2023-06-20,40,,0.969184037563297
731575,1,2023-06-21,67,,0.9068676241029927
731575,1,2023-06-22,99,,0.7453902456143109
731575,1,2023-06-23,92,,0.8183668373681883
731575,1,2023-06-24,8,,1.1685417139310794
731575,1,2023-06-25,2,,0.4998124842593681
731575,1,2023-06-26,4,,0.29914508035957077
731575,1,2023-06-27,5,,0.23033066749759779
731575,1,2023-06-28,4,,0.28561102405138095
731575,1,2023-06-29,1,,0.7734408091175478
731575,331,2023-05-25,14,,3.2794494692758778
731575,331,2023-05-26,18,,2.9616796662943408
731575,331,2023-05-27,20,,2.6924704111614544
731575,331,2023-05-28,22,,2.554791683747842
731575,331,2023-05-29,18,,2.70420428326264
731575,331,2023-05-30,19,,2.7502397921793884
731575,331,2023-05-31,13,,2.803578313373405
731575,331,2023-06-01,14,,3.1725629602387677
731575,331,2023-06-02,15,,3.1842651352383102
731575,331,2023-06-03,8,,2.797170655092206
731575,331,2023-06-04,11,,3.146973268169549
731575,331,2023-06-05,5,,2.945599379747667
731575,331,2023-06-06,11,,2.9775515427156507
731575,331,2023-06-07,13,,2.1691630437375813
731575,331,2023-06-08,18,,2.1511915267644524
731575,331,2023-06-09,12,,2.2267711348467536
731575,331,2023-06-10,8,,1.9979473927480735
731575,331,2023-06-11,6,,1.6851834326923005
731575,331,2023-06-12,8,,1.6431373883637184
731575,331,2023-06-13,7,,1.6243635010760662
731575,331,2023-06-14,18,,1.791201096422776
731575,331,2023-06-15,18,,1.8245406917298472
731575,331,2023-06-16,16,,1.8448018280658731
731575,331,2023-06-17,18,,1.4729565094250687
731575,331,2023-06-18,18,,1.3567767117762035
731575,331,2023-06-19,13,,1.4852024161744821
731575,331,2023-06-20,9,,1.3621147115563408
731575,331,2023-06-21,13,,1.346026319013478
731575,331,2023-06-22,12,,1.0684546016899925
731575,331,2023-06-23,11,,1.139623927106162
731575,331,2023-06-24,2,,1.6210051017960843
731575,331,2023-06-29,1,,1.0657233690777637
731575,581,2023-05-25,5,,1.8948846487052
731575,581,2023-05-26,1,,2.284249603916222
